utt,point,etype,level,lsd_mean,lsd_median,lsd_p90,lsd_frames,nmr_median,nmr_p90,segsnr_mean,segsnr_median,crest_delta_median,crest_delta_p90,estoi_orig
hts2a,log2e,dc,0.002,0.012041,0.012041,0.012041,293,-57.157,-57.157,35,35,-1.0658e-14,7.1054e-15,0.56835
hts2a,log2e,dc,0.008,0.048165,0.048165,0.048165,293,-45.098,-45.098,35,35,-1.0658e-14,5.3291e-15,0.56835
hts2a,log2e,dc,0.032,0.19266,0.19266,0.19266,293,-32.984,-32.984,32.984,32.984,-1.2434e-14,6.2172e-15,0.56835
hts2a,log2e,dc,0.128,0.77064,0.77064,0.77064,293,-20.651,-20.651,20.651,20.651,-1.0658e-14,5.3291e-15,0.56835
hts2a,log2e,dc,0.512,3.0825,3.0825,3.0825,293,-7.4113,-7.4113,7.4113,7.4113,-8.8818e-15,5.3291e-15,0.56835
hts2a,mixfc,dc,0.0025,0.036354,0.033513,0.06209,293,-55.223,-52.335,35,35,-1.4211e-14,0.0055974,0.56842
hts2a,mixfc,dc,0.01,0.14697,0.13462,0.25467,293,-43.2,-40.262,34.974,35,-1.3323e-14,0.026554,0.56861
hts2a,mixfc,dc,0.04,0.55061,0.53755,0.97402,293,-31.081,-28.201,33.257,35,-1.2434e-14,0.10883,0.5694
hts2a,mixfc,dc,0.16,1.8004,1.9441,2.9612,293,-19.334,-16.171,24.798,25.201,-1.7764e-14,0.43884,0.57196
hts2a,mixfc,dc,0.64,3.6725,4.1159,5.575,293,-12.087,-9.4238,18.713,17.697,-1.7764e-14,0.63342,0.57378
hts2a,mixfc,white,0.0025,0.040203,0.030384,0.086083,293,-56.655,-48.089,35,35,-1.0658e-14,0.0038687,0.56834
hts2a,mixfc,white,0.01,0.15548,0.1218,0.34748,293,-44.555,-36.03,34.984,35,-9.77e-15,0.015332,0.56832
hts2a,mixfc,white,0.04,0.57737,0.48418,1.2906,293,-32.459,-24.211,33.592,35,-8.8818e-15,0.052617,0.56821
hts2a,mixfc,white,0.16,1.8481,1.8089,3.6386,293,-20.635,-13.132,26.448,26.429,-8.8818e-15,0.1907,0.5669
hts2a,mixfc,white,0.64,4.1436,4.5083,7.1518,293,-10.884,-3.9809,15.11,13.434,0.00039068,0.95518,0.51874
hts2a,mixnf,dc,0.25,0.14062,0.14607,0.22475,293,-40.127,-36.636,35,35,5.5769e-11,0.013688,0.5679
hts2a,mixnf,dc,1,0.53395,0.58985,0.89733,293,-27.597,-24.194,34.311,35,4.5108e-08,0.055748,0.56646
hts2a,mixnf,dc,4,2.0212,2.3583,3.1319,293,-13.903,-10.49,28.659,29.906,0.00020435,0.2567,0.55949
