name,utt,variant,family,tier,dns_sig,dns_bak,dns_ovrl,dns_p808,nisqa_mos,nisqa_noi,nisqa_col,nisqa_dis,nisqa_loud
hts1a.smooth-dither@2,hts1a,smooth-dither@2,smooth,corrupt@2,3.0954817493002182,3.9219789773173463,2.8016863327831536,2.9788436889648438,3.094055652618408,3.674821138381958,2.453254461288452,4.012993335723877,3.49265456199646
hts1a.smooth-dither@4,hts1a,smooth-dither@4,smooth,corrupt@4,3.0790042032783123,3.8964042919102027,2.7729369694841637,2.9374217987060547,2.9564592838287354,3.362314224243164,2.494124412536621,4.132015705108643,3.4485371112823486
hts1a.smooth-mix-1500,hts1a,smooth-mix-1500,smooth,resynth,3.28679986339777,4.027803389428258,3.014683404010979,2.8977770805358887,2.048631429672241,2.546732187271118,2.1308467388153076,3.41304349899292,2.9514734745025635
hts1a.smooth-mix-800,hts1a,smooth-mix-800,smooth,resynth,3.0703012281998543,3.7112653689959383,2.6878525447217942,2.499434232711792,1.7321926355361938,2.3444464206695557,2.0114152431488037,3.1464836597442627,2.7214667797088623
hts1a.smooth-valley@2,hts1a,smooth-valley@2,smooth,corrupt@2,3.071481450929806,3.92460317755487,2.773544772166165,2.7999870777130127,2.8438360691070557,3.535914182662964,2.4179394245147705,3.989809274673462,3.424323797225952
hts1a.smooth-valley@4,hts1a,smooth-valley@4,smooth,corrupt@4,2.9668273111438075,3.9707769826514134,2.6994064866527174,2.5225865840911865,2.0589849948883057,2.090116500854492,2.1841373443603516,3.6551594734191895,2.9616193771362305
hts2a.buzz-l0,hts2a,buzz-l0,buzzy,resynth,3.0826785195509463,3.334873187503116,2.5170183865683793,3.105517864227295,2.206268787384033,3.2763724327087402,1.939459204673767,2.415879249572754,3.1136274337768555
hts2a.buzz-pump@2,hts2a,buzz-pump@2,buzzy,corrupt@2,2.3776906096444126,3.2897294143428493,1.9724774991295364,3.21560001373291,1.9536362886428833,2.7994384765625,1.6882025003433228,2.1712944507598877,2.9712674617767334
hts2a.buzz-pump@4,hts2a,buzz-pump@4,buzzy,corrupt@4,1.088572460426743,3.0270539249385657,1.219804816324866,2.7743005752563477,1.0797127485275269,3.0438015460968018,1.5081424713134766,1.488189935684204,2.5775930881500244
hts2a.buzz-sharp@2,hts2a,buzz-sharp@2,buzzy,corrupt@2,3.242523896301646,3.748497704681124,2.823428808199522,3.3147456645965576,2.5389440059661865,3.1326043605804443,1.8916356563568115,2.647108554840088,3.2412924766540527
hts2a.buzz-sharp@4,hts2a,buzz-sharp@4,buzzy,corrupt@4,3.32039645110188,3.7731824833661416,2.8963070962102155,3.1799497604370117,2.560824394226074,3.107135534286499,1.8380038738250732,2.7441248893737793,3.161473035812378
hts2a.buzz-spur@2,hts2a,buzz-spur@2,buzzy,corrupt@2,3.3794019448386856,3.668025544270732,2.9009382744979906,3.079050064086914,2.360059976577759,2.529949426651001,2.0301363468170166,2.5057568550109863,3.266775131225586
hts2a.buzz-spur@4,hts2a,buzz-spur@4,buzzy,corrupt@4,3.4271929431262174,3.2231422150668663,2.712953413278529,2.939756393432617,2.129032611846924,1.9089720249176025,2.0005617141723633,2.37821626663208,2.9095139503479004
